,mft,newmindaimursit,cosmosgpt2,tabi
Anaphor Agreement,52.300000000000004,48.6,49.6,49.6
Argument Str. Tran.,47.4,54.7,56.99999999999999,56.3
Argument Str. Ditr.,51.0,36.4,59.3,51.4
Binding,86.7,70.7,70.5,63.6
Determiners,99.7,96.3,93.60000000000001,58.4
Ellipsis,62.9,49.3,47.3,55.400000000000006
Irregular Forms,54.900000000000006,32.7,33.300000000000004,45.9
Island Effects,93.10000000000001,49.9,35.699999999999996,50.7
Nominalization,45.4,51.2,51.7,52.1
NPI Licensing,71.89999999999999,46.800000000000004,48.699999999999996,48.3
Passives,41.9,54.400000000000006,43.1,61.5
Quantifiers,25.5,44.9,21.099999999999998,19.8
Relative Clauses,48.4,48.699999999999996,51.5,49.4
Scrambling,59.099999999999994,56.49999999999999,55.300000000000004,55.60000000000001
Subject Agreement,68.4,56.89999999999999,55.1,60.8
Suspended Affixation,71.2,45.4,40.400000000000006,47.3
Model Average,61.237500000000004,52.71249999999999,50.825,51.631249999999994
